precinct_id,srprec,county,city,classification_score,classification_category,total_voters,prop_33_no_pct
24317,0006908,Ventura,Camarillo,42,Mainstream,696,66.87
24474,0039019,Ventura,Moorpark,42,Mainstream,616,70.17
23993,0092096,Ventura,Thousand Oaks,42,Mainstream,533,70.61
23922,0039021,Ventura,Moorpark,42,Mainstream,763,60.89
23987,0092042,Ventura,Thousand Oaks,42,Mainstream,702,65.52
24007,0092078,Ventura,Thousand Oaks,42,Mainstream,836,63.58
24354,0084014,Ventura,Simi Valley,42,Mainstream,492,52.33
24593,0092120,Ventura,Thousand Oaks,42,Mainstream,596,52.59
24455,0039008,Ventura,Moorpark,42,Mainstream,485,66.52
23633,0092104,Ventura,Thousand Oaks,42,Mainstream,700,69.98
23473,0007052,Ventura,Camarillo,42,Mainstream,602,63.86
24014,0092073,Ventura,Thousand Oaks,42,Mainstream,805,68.04
23644,0084072,Ventura,Simi Valley,43,Mainstream,604,74.91
24740,0007026,Ventura,Camarillo,43,Mainstream,357,69.79
23449,0084110,Ventura,Simi Valley,43,Mainstream,669,66.45
24585,0092127,Ventura,Thousand Oaks,43,Mainstream,455,62.97
24021,0092081,Ventura,Thousand Oaks,43,Mainstream,586,68.37
23840,0092007,Ventura,Thousand Oaks,43,Mainstream,717,71.43
23775,0084069,Ventura,Simi Valley,43,Mainstream,690,72.42
24381,0084027,Ventura,Simi Valley,43,Mainstream,691,62.18
23700,0084085,Ventura,Simi Valley,43,Mainstream,757,61.12
24509,0095009,Ventura,Unincorporated,43,Mainstream,695,67.1
24321,0084037,Ventura,Simi Valley,43,Mainstream,803,63.19
24268,0084007,Ventura,Simi Valley,43,Mainstream,739,68.17
23803,0092021,Ventura,Thousand Oaks,43,Mainstream,895,68.26
23707,0084089,Ventura,Simi Valley,44,Mainstream,660,60.78
23676,0006910,Ventura,Camarillo,44,Mainstream,703,65.56
23666,0084071,Ventura,Simi Valley,44,Mainstream,197,59.66
23868,0092055,Ventura,Thousand Oaks,44,Mainstream,605,67.61
23869,0092058,Ventura,Thousand Oaks,44,Mainstream,755,69.83
23971,0092046,Ventura,Thousand Oaks,44,Mainstream,368,61.81
23938,0024001,Ventura,Unincorporated,44,Mainstream,386,64.02
24257,0084003,Ventura,Simi Valley,44,Mainstream,530,62.48
23509,0084105,Ventura,Simi Valley,44,Mainstream,654,62.0
24545,0092115,Ventura,Thousand Oaks,44,Mainstream,389,65.59
24457,0039009,Ventura,Moorpark,44,Mainstream,550,64.93
23439,0084113,Ventura,Simi Valley,44,Mainstream,478,63.08
23974,0039037,Ventura,Moorpark,44,Mainstream,710,69.22
24347,0084041,Ventura,Simi Valley,45,Mainstream,615,64.1
24054,0014202,Ventura,Unincorporated,45,Mainstream,374,69.6
23728,0084059,Ventura,Simi Valley,45,Mainstream,745,68.93
23773,0092010,Ventura,Thousand Oaks,45,Mainstream,477,63.44
23867,0092056,Ventura,Thousand Oaks,45,Mainstream,480,64.4
23670,0084070,Ventura,Simi Valley,45,Mainstream,655,63.21
23684,0006913,Ventura,Camarillo,45,Mainstream,555,63.97
24462,0039003,Ventura,Moorpark,45,Mainstream,534,61.84
23949,0024000,Ventura,Unincorporated,45,Mainstream,648,66.34
24000,0092090,Ventura,Thousand Oaks,45,Mainstream,615,64.3
24018,0092088,Ventura,Thousand Oaks,45,Mainstream,935,69.02
24756,0007033,Ventura,Camarillo,46,Mainstream,558,60.94
24729,0007028,Ventura,Camarillo,46,Mainstream,363,69.91
24540,0092113,Ventura,Thousand Oaks,46,Mainstream,483,70.91
23515,0084106,Ventura,Simi Valley,46,Mainstream,509,62.03
23520,0084108,Ventura,Simi Valley,46,Mainstream,488,67.59
24010,0092070,Ventura,Thousand Oaks,46,Mainstream,661,62.29
24028,0092084,Ventura,Thousand Oaks,46,Mainstream,346,82.92
24027,0092085,Ventura,Thousand Oaks,46,Mainstream,736,75.6
24324,0084036,Ventura,Simi Valley,46,Mainstream,498,70.44
23918,0092034,Ventura,Thousand Oaks,46,Mainstream,452,64.58
23906,0092065,Ventura,Thousand Oaks,46,Mainstream,523,70.91
23967,0092044,Ventura,Thousand Oaks,46,Mainstream,612,73.58
24012,0092071,Ventura,Thousand Oaks,46,Mainstream,690,67.49
24360,0084010,Ventura,Simi Valley,46,Mainstream,706,66.18
23841,0092006,Ventura,Thousand Oaks,46,Mainstream,398,67.84
23881,0084092,Ventura,Simi Valley,46,Mainstream,493,58.09
23730,0006922,Ventura,Camarillo,46,Mainstream,531,61.61
24502,0095005,Ventura,Unincorporated,46,Mainstream,398,75.0
23651,0084079,Ventura,Simi Valley,47,Mainstream,388,64.31
24338,0084032,Ventura,Simi Valley,47,Mainstream,354,61.63
23935,0092030,Ventura,Thousand Oaks,47,Mainstream,413,69.31
23702,0084088,Ventura,Simi Valley,47,Mainstream,516,74.75
23681,0006911,Ventura,Camarillo,47,Mainstream,581,65.63
24352,0084045,Ventura,Simi Valley,47,Mainstream,636,58.21
23831,0092009,Ventura,Thousand Oaks,47,Mainstream,802,72.25
23767,0092016,Ventura,Thousand Oaks,47,Mainstream,576,68.58
20070,7770011A,Los Angeles,Westlake Village,47,Mainstream,1400,
23487,0007049,Ventura,Camarillo,47,Mainstream,392,55.53
24515,0095000,Ventura,Unincorporated,47,Mainstream,702,67.61
23474,0007051,Ventura,Camarillo,47,Mainstream,599,69.24
24577,0092123,Ventura,Thousand Oaks,47,Mainstream,511,67.36
24721,0007030,Ventura,Camarillo,47,Mainstream,583,73.87
23718,0084082,Ventura,Simi Valley,48,Mainstream,701,73.21
23722,0006921,Ventura,Camarillo,48,Mainstream,731,78.87
23715,0084080,Ventura,Simi Valley,48,Mainstream,798,68.32
23779,0084061,Ventura,Simi Valley,48,Mainstream,401,66.93
23832,0092008,Ventura,Thousand Oaks,48,Mainstream,784,69.24
23870,0092057,Ventura,Thousand Oaks,48,Mainstream,597,69.01
24345,0084040,Ventura,Simi Valley,48,Mainstream,495,62.72
23908,0039028,Ventura,Moorpark,48,Mainstream,250,66.81
23631,0092101,Ventura,Thousand Oaks,48,Mainstream,554,81.84
24472,0039017,Ventura,Moorpark,48,Mainstream,627,71.26
24731,0007021,Ventura,Camarillo,48,Mainstream,531,70.96
24738,0007024,Ventura,Camarillo,48,Mainstream,438,69.29
