precinct_id,srprec,county,city,classification_score,classification,competitive_score,competitive_category,sanders_2020_pct,biden_2020_pct,bloomberg_2020_pct,dem_voters_2020,prop33_yes_pct,total_voters_2024
69275,0092082,Ventura,Thousand Oaks,86.4,Moderate,35.0,Competitive,19.18,32.88,19.63,438,32.829046898638424,417.0
69400,0099000,Ventura,,87.2,Moderate,41.8,Competitive,13.24,25.0,17.65,68,28.640776699029125,139.0
72831,4050002A,Los Angeles,Malibu,87.9,Moderate,22.2,Not Competitive,19.34,39.94,19.65,636,26.32530120481928,979.0
69188,0084050,Ventura,Simi Valley,88.7,Moderate,84.9,Highly Competitive,33.33,33.33,33.33,3,34.582623509369675,329.0
69288,0092122,Ventura,Thousand Oaks,89.4,Moderate,54.7,Competitive,18.71,38.85,20.86,139,28.593996840442337,379.0
73738,9000267A,Los Angeles,Los Angeles,90.2,Moderate,19.9,Not Competitive,16.08,43.11,19.42,958,50.0,1803.0
74134,9001382A,Los Angeles,Los Angeles,90.9,Moderate,2.5,Not Competitive,13.89,46.61,17.51,914,23.817940786566506,1883.0
74052,9001100A,Los Angeles,Los Angeles,91.7,Moderate,21.4,Not Competitive,15.31,44.55,20.0,725,22.543581616481774,1386.0
71969,1000016A,Los Angeles,Calabasas,92.4,Moderate,6.3,Not Competitive,13.36,47.06,18.02,988,26.302864938608455,1177.0
73584,7770011A,Los Angeles,Westlake Village,93.2,Moderate,13.8,Not Competitive,13.71,43.06,20.32,620,50.0,1400.0
72442,2780002A,Los Angeles,Hidden Hills,94.0,Moderate,7.0,Not Competitive,13.66,50.73,19.76,410,18.79396984924623,566.0
71971,1000077A,Los Angeles,Calabasas,94.7,Moderate,12.3,Not Competitive,15.03,45.93,22.19,712,50.0,1113.0
69271,0092068,Ventura,Thousand Oaks,95.5,Moderate,38.0,Competitive,15.78,38.05,24.59,431,25.94268476621418,424.0
69286,0092114,Ventura,Thousand Oaks,96.2,Moderate,10.1,Not Competitive,14.47,46.24,22.37,532,28.878648233486942,358.0
74668,9005918A,Los Angeles,Los Angeles,97.0,Moderate,1.8,Not Competitive,12.8,41.1,22.1,1000,29.840255591054316,1005.0
74773,9007693D,Los Angeles,Los Angeles,97.7,Moderate,9.3,Not Competitive,12.79,44.99,22.17,469,24.498810737342847,1725.0
74124,9001352A,Los Angeles,Los Angeles,98.5,Moderate,17.6,Not Competitive,14.29,41.83,24.23,875,21.77161152614728,1627.0
69163,0081000,Ventura,,99.2,Moderate,3.3,Not Competitive,15.51,42.9,26.73,303,16.296296296296298,363.0
74130,9001367B,Los Angeles,Los Angeles,100.0,Moderate,4.0,Not Competitive,9.91,46.36,25.36,686,16.96404062585781,2251.0
