precinct_id,srprec,county,city,classification_score,classification_7cat,competitive_score,dem_rep_margin,total_voters,prop_33_no_pct,dem_turnout_pct,rep_turnout_pct,dem_advantage
23631,0092101,Ventura,Thousand Oaks,31,Competitive/Swing,96,3.96,554,81.84,37.95,41.91,-3.96
23666,0084071,Ventura,Simi Valley,31,Competitive/Swing,99,1.16,197,59.66,39.15,40.31,-1.16
23922,0039021,Ventura,Moorpark,31,Moderate Dem-Leaning,95,5.41,763,60.89,43.0,37.59,5.41
24138,0099000,Ventura,Unincorporated,31,Mainstream Dem,77,23.02,226,71.36,49.64,26.62,23.02
23869,0092058,Ventura,Thousand Oaks,31,Moderate Dem-Leaning,99,0.86,755,69.83,41.33,40.47,0.86
23868,0092055,Ventura,Thousand Oaks,31,Moderate Dem-Leaning,97,2.76,605,67.61,44.17,41.41,2.76
23908,0039028,Ventura,Moorpark,31,Mainstream Rep,77,23.39,250,66.81,33.06,56.45,-23.39
20070,7770011A,Los Angeles,Westlake Village,31,Competitive/Swing,100,0.21,1400,,41.0,41.21,-0.21
23749,0084050,Ventura,Simi Valley,31,Moderate Rep-Leaning,92,8.51,613,65.42,37.99,46.5,-8.51
23779,0084061,Ventura,Simi Valley,31,Mainstream Rep,85,15.38,401,66.93,31.73,47.12,-15.38
24290,0044012,Ventura,Unincorporated,31,Mainstream Dem,85,14.84,728,72.6,49.73,34.89,14.84
24338,0084032,Ventura,Simi Valley,31,Mainstream Rep,84,16.67,354,61.63,30.73,47.4,-16.67
24450,0090004,Ventura,Unincorporated,31,Mainstream Rep,89,11.01,230,71.56,37.61,48.62,-11.01
24379,0084028,Ventura,Simi Valley,31,Mainstream Dem,78,21.82,352,40.83,52.73,30.91,21.82
24360,0084010,Ventura,Simi Valley,31,Mainstream Rep,88,12.35,706,66.18,36.11,48.46,-12.35
23715,0084080,Ventura,Simi Valley,31,Mainstream Rep,88,12.57,798,68.32,34.92,47.49,-12.57
24462,0039003,Ventura,Moorpark,31,Moderate Dem-Leaning,98,1.62,534,61.84,40.89,39.27,1.62
