precinct_id,srprec,county,city,classification_score,classification_category,competitive_score,competitive_category,dem_rep_margin,total_voters,prop_33_no_pct,dem_turnout_pct,rep_turnout_pct,classification_7cat
24538,0095017,Ventura,Unincorporated,33.0,Progressive,1.0,Not Competitive,100.0,9.0,,100.0,0.0,Mainstream Dem
24460,0039001,Ventura,Moorpark,33.0,Progressive,93.0,Highly Competitive,6.64,599.0,67.91,45.1,38.46,Moderate Dem-Leaning
23929,0092037,Ventura,Thousand Oaks,33.0,Progressive,95.0,Highly Competitive,5.3,807.0,61.22,43.61,38.31,Moderate Dem-Leaning
23984,0092041,Ventura,Thousand Oaks,33.0,Progressive,92.0,Highly Competitive,8.17,735.0,66.03,44.41,36.24,Moderate Dem-Leaning
24734,0007023,Ventura,Camarillo,33.0,Progressive,94.0,Highly Competitive,5.59,482.0,73.23,35.66,41.26,Moderate Rep-Leaning
24026,0092082,Ventura,Thousand Oaks,33.0,Progressive,87.0,Highly Competitive,12.95,685.0,67.17,47.0,34.05,Mainstream Dem
23988,0092099,Ventura,Thousand Oaks,34.0,Mainstream,88.0,Highly Competitive,12.26,545.0,73.27,45.81,33.55,Mainstream Dem
24334,0084031,Ventura,Simi Valley,34.0,Mainstream,93.0,Highly Competitive,7.12,681.0,57.46,45.87,38.75,Moderate Dem-Leaning
23798,0092029,Ventura,Thousand Oaks,34.0,Mainstream,91.0,Highly Competitive,9.0,498.0,68.8,47.33,38.33,Moderate Dem-Leaning
23796,0092027,Ventura,Thousand Oaks,34.0,Mainstream,94.0,Highly Competitive,6.32,661.0,68.95,37.0,43.33,Moderate Rep-Leaning
23904,0092063,Ventura,Thousand Oaks,34.0,Mainstream,96.0,Highly Competitive,3.92,667.0,71.04,44.65,40.73,Moderate Dem-Leaning
23887,0092051,Ventura,Thousand Oaks,34.0,Mainstream,97.0,Highly Competitive,3.16,901.0,64.96,39.25,42.41,Competitive/Swing
23907,0092064,Ventura,Thousand Oaks,34.0,Mainstream,85.0,Highly Competitive,15.65,461.0,69.41,47.33,31.68,Mainstream Dem
24335,0084030,Ventura,Simi Valley,34.0,Mainstream,97.0,Highly Competitive,2.71,615.0,65.87,41.36,44.07,Competitive/Swing
24013,0092074,Ventura,Thousand Oaks,34.0,Mainstream,82.0,Highly Competitive,18.25,777.0,63.96,51.59,33.33,Mainstream Dem
23962,0039030,Ventura,Moorpark,34.0,Mainstream,28.0,Not Competitive,72.73,55.0,52.73,81.82,9.09,Mainstream Dem
24755,0007034,Ventura,Camarillo,34.0,Mainstream,94.0,Highly Competitive,5.81,602.0,60.31,44.48,38.66,Moderate Dem-Leaning
23789,0084068,Ventura,Simi Valley,34.0,Mainstream,94.0,Highly Competitive,6.47,746.0,72.07,38.82,45.29,Moderate Rep-Leaning
24398,0084021,Ventura,Simi Valley,34.0,Mainstream,83.0,Highly Competitive,16.72,596.0,71.15,34.75,51.48,Mainstream Rep
23508,0007054,Ventura,Camarillo,34.0,Mainstream,88.0,Highly Competitive,11.68,625.0,61.41,46.41,34.73,Mainstream Dem
24290,0044012,Ventura,Unincorporated,34.0,Mainstream,85.0,Highly Competitive,14.84,728.0,72.6,49.73,34.89,Mainstream Dem
23791,0092023,Ventura,Thousand Oaks,34.0,Mainstream,99.0,Highly Competitive,0.77,687.0,67.45,40.51,39.74,Moderate Dem-Leaning
19105,7470001A,Los Angeles,Unincorporated,34.0,Mainstream,89.0,Highly Competitive,11.11,178.0,38.75,45.56,34.44,Mainstream Dem
24754,0007031,Ventura,Camarillo,34.0,Mainstream,90.0,Highly Competitive,9.73,336.0,63.92,44.32,34.59,Moderate Dem-Leaning
24675,0005304,Ventura,Unincorporated,34.0,Mainstream,100.0,Highly Competitive,0.0,1.0,,0.0,0.0,Competitive/Swing
24710,0048203,Ventura,Unincorporated,34.0,Mainstream,100.0,Highly Competitive,0.0,3.0,,0.0,0.0,Competitive/Swing
23449,0084110,Ventura,Simi Valley,34.0,Mainstream,72.0,Highly Competitive,27.9,669.0,66.45,26.33,54.23,MAGA Rep
24138,0099000,Ventura,Unincorporated,34.0,Mainstream,77.0,Highly Competitive,23.02,226.0,71.36,49.64,26.62,Mainstream Dem
24015,0092076,Ventura,Thousand Oaks,35.0,Mainstream,79.0,Highly Competitive,20.83,588.0,63.95,51.04,30.21,Mainstream Dem
23924,0039024,Ventura,Moorpark,35.0,Mainstream,94.0,Highly Competitive,5.65,861.0,70.07,39.57,45.22,Moderate Rep-Leaning
23629,0092100,Ventura,Thousand Oaks,35.0,Mainstream,84.0,Highly Competitive,15.81,738.0,63.44,50.93,35.12,Mainstream Dem
24296,0044016,Ventura,Unincorporated,35.0,Mainstream,82.0,Highly Competitive,18.39,425.0,62.94,49.78,31.39,Mainstream Dem
24171,0044006,Ventura,Unincorporated,35.0,Mainstream,84.0,Highly Competitive,15.98,347.0,69.0,50.0,34.02,Mainstream Dem
23866,0084098,Ventura,Simi Valley,35.0,Mainstream,95.0,Highly Competitive,4.92,475.0,61.1,38.93,43.85,Competitive/Swing
23985,0092040,Ventura,Thousand Oaks,35.0,Mainstream,96.0,Highly Competitive,3.94,827.0,60.57,43.54,39.61,Moderate Dem-Leaning
24496,0039014,Ventura,Moorpark,35.0,Mainstream,94.0,Highly Competitive,5.96,550.0,72.28,44.2,38.24,Moderate Dem-Leaning
19149,7770030A,Los Angeles,Westlake Village,35.0,Mainstream,90.0,Highly Competitive,10.24,4588.0,74.95,45.65,35.41,Mainstream Dem
23620,0092107,Ventura,Thousand Oaks,35.0,Mainstream,96.0,Highly Competitive,3.78,716.0,69.44,43.32,39.55,Moderate Dem-Leaning
24499,0095006,Ventura,Unincorporated,35.0,Mainstream,95.0,Highly Competitive,5.54,515.0,70.69,44.0,38.46,Moderate Dem-Leaning
24551,0092116,Ventura,Thousand Oaks,35.0,Mainstream,93.0,Highly Competitive,6.95,673.0,67.14,37.42,44.37,Moderate Rep-Leaning
24268,0084007,Ventura,Simi Valley,35.0,Mainstream,85.0,Highly Competitive,15.0,739.0,68.17,34.21,49.21,Mainstream Rep
23765,0092014,Ventura,Thousand Oaks,35.0,Mainstream,93.0,Highly Competitive,7.3,442.0,78.69,35.77,43.07,Moderate Rep-Leaning
23644,0084072,Ventura,Simi Valley,35.0,Mainstream,81.0,Highly Competitive,18.84,604.0,74.91,32.25,51.09,Mainstream Rep
24455,0039008,Ventura,Moorpark,35.0,Mainstream,91.0,Highly Competitive,9.49,485.0,66.52,37.96,47.45,Moderate Rep-Leaning
23775,0084069,Ventura,Simi Valley,36.0,Mainstream,99.0,Highly Competitive,1.17,690.0,72.42,40.18,41.35,Competitive/Swing
24453,0039006,Ventura,Moorpark,36.0,Mainstream,96.0,Highly Competitive,4.0,643.0,67.82,42.77,38.77,Moderate Dem-Leaning
23652,0084078,Ventura,Simi Valley,36.0,Mainstream,94.0,Highly Competitive,6.09,380.0,62.04,44.67,38.58,Moderate Dem-Leaning
24381,0084027,Ventura,Simi Valley,36.0,Mainstream,81.0,Highly Competitive,18.71,691.0,62.18,32.31,51.02,Mainstream Rep
24317,0006908,Ventura,Camarillo,36.0,Mainstream,87.0,Highly Competitive,13.36,696.0,66.87,48.33,34.97,Mainstream Dem
