precinct_id,srprec,county,city,classification_score,classification_category,total_voters,prop_33_no_pct
24728,0007029,Ventura,Camarillo,31.0,Progressive,470.0,60.73
24067,0005007,Ventura,Unincorporated,31.0,Progressive,4.0,
23837,0092002,Ventura,Thousand Oaks,32.0,Progressive,153.0,69.06
23836,0092003,Ventura,Thousand Oaks,32.0,Progressive,394.0,49.32
24169,0044004,Ventura,Unincorporated,32.0,Progressive,570.0,72.28
24156,0044009,Ventura,Unincorporated,32.0,Progressive,756.0,76.12
24009,0092079,Ventura,Thousand Oaks,32.0,Progressive,506.0,43.63
24166,0044000,Ventura,Unincorporated,32.0,Progressive,448.0,59.07
23399,0007002,Ventura,Camarillo,32.0,Progressive,669.0,65.52
23996,0092097,Ventura,Thousand Oaks,32.0,Progressive,671.0,58.39
23423,0007011,Ventura,Camarillo,32.0,Progressive,181.0,78.7
20541,0070005A,Los Angeles,Unincorporated,32.0,Progressive,1111.0,74.11
23800,0092028,Ventura,Thousand Oaks,32.0,Progressive,372.0,61.84
23787,0084065,Ventura,Simi Valley,32.0,Progressive,784.0,54.43
24293,0044014,Ventura,Unincorporated,32.0,Progressive,672.0,61.25
24279,0084002,Ventura,Simi Valley,32.0,Progressive,903.0,61.18
24459,0039002,Ventura,Moorpark,32.0,Progressive,614.0,53.46
24254,0084004,Ventura,Simi Valley,33.0,Progressive,650.0,62.98
24289,0044013,Ventura,Unincorporated,33.0,Progressive,571.0,50.09
23764,0092011,Ventura,Thousand Oaks,33.0,Progressive,464.0,61.71
24760,0007035,Ventura,Camarillo,33.0,Progressive,261.0,56.35
24456,0039007,Ventura,Moorpark,33.0,Progressive,649.0,61.29
24538,0095017,Ventura,Unincorporated,33.0,Progressive,9.0,
24460,0039001,Ventura,Moorpark,33.0,Progressive,599.0,67.91
23929,0092037,Ventura,Thousand Oaks,33.0,Progressive,807.0,61.22
23984,0092041,Ventura,Thousand Oaks,33.0,Progressive,735.0,66.03
24734,0007023,Ventura,Camarillo,33.0,Progressive,482.0,73.23
24026,0092082,Ventura,Thousand Oaks,33.0,Progressive,685.0,67.17
23988,0092099,Ventura,Thousand Oaks,34.0,Mainstream,545.0,73.27
24334,0084031,Ventura,Simi Valley,34.0,Mainstream,681.0,57.46
23798,0092029,Ventura,Thousand Oaks,34.0,Mainstream,498.0,68.8
23796,0092027,Ventura,Thousand Oaks,34.0,Mainstream,661.0,68.95
23904,0092063,Ventura,Thousand Oaks,34.0,Mainstream,667.0,71.04
23887,0092051,Ventura,Thousand Oaks,34.0,Mainstream,901.0,64.96
23907,0092064,Ventura,Thousand Oaks,34.0,Mainstream,461.0,69.41
24335,0084030,Ventura,Simi Valley,34.0,Mainstream,615.0,65.87
24013,0092074,Ventura,Thousand Oaks,34.0,Mainstream,777.0,63.96
23962,0039030,Ventura,Moorpark,34.0,Mainstream,55.0,52.73
24755,0007034,Ventura,Camarillo,34.0,Mainstream,602.0,60.31
23789,0084068,Ventura,Simi Valley,34.0,Mainstream,746.0,72.07
24398,0084021,Ventura,Simi Valley,34.0,Mainstream,596.0,71.15
23508,0007054,Ventura,Camarillo,34.0,Mainstream,625.0,61.41
24290,0044012,Ventura,Unincorporated,34.0,Mainstream,728.0,72.6
23791,0092023,Ventura,Thousand Oaks,34.0,Mainstream,687.0,67.45
19105,7470001A,Los Angeles,Unincorporated,34.0,Mainstream,178.0,38.75
24754,0007031,Ventura,Camarillo,34.0,Mainstream,336.0,63.92
24675,0005304,Ventura,Unincorporated,34.0,Mainstream,1.0,
24710,0048203,Ventura,Unincorporated,34.0,Mainstream,3.0,
23449,0084110,Ventura,Simi Valley,34.0,Mainstream,669.0,66.45
24138,0099000,Ventura,Unincorporated,34.0,Mainstream,226.0,71.36
24015,0092076,Ventura,Thousand Oaks,35.0,Mainstream,588.0,63.95
23924,0039024,Ventura,Moorpark,35.0,Mainstream,861.0,70.07
23629,0092100,Ventura,Thousand Oaks,35.0,Mainstream,738.0,63.44
24296,0044016,Ventura,Unincorporated,35.0,Mainstream,425.0,62.94
24171,0044006,Ventura,Unincorporated,35.0,Mainstream,347.0,69.0
23866,0084098,Ventura,Simi Valley,35.0,Mainstream,475.0,61.1
23985,0092040,Ventura,Thousand Oaks,35.0,Mainstream,827.0,60.57
24496,0039014,Ventura,Moorpark,35.0,Mainstream,550.0,72.28
19149,7770030A,Los Angeles,Westlake Village,35.0,Mainstream,4588.0,74.95
23620,0092107,Ventura,Thousand Oaks,35.0,Mainstream,716.0,69.44
24499,0095006,Ventura,Unincorporated,35.0,Mainstream,515.0,70.69
24551,0092116,Ventura,Thousand Oaks,35.0,Mainstream,673.0,67.14
24268,0084007,Ventura,Simi Valley,35.0,Mainstream,739.0,68.17
23765,0092014,Ventura,Thousand Oaks,35.0,Mainstream,442.0,78.69
23644,0084072,Ventura,Simi Valley,35.0,Mainstream,604.0,74.91
24455,0039008,Ventura,Moorpark,35.0,Mainstream,485.0,66.52
23775,0084069,Ventura,Simi Valley,36.0,Mainstream,690.0,72.42
24453,0039006,Ventura,Moorpark,36.0,Mainstream,643.0,67.82
23652,0084078,Ventura,Simi Valley,36.0,Mainstream,380.0,62.04
24381,0084027,Ventura,Simi Valley,36.0,Mainstream,691.0,62.18
24317,0006908,Ventura,Camarillo,36.0,Mainstream,696.0,66.87
24534,0092111,Ventura,Thousand Oaks,36.0,Mainstream,391.0,68.5
24474,0039019,Ventura,Moorpark,36.0,Mainstream,616.0,70.17
24739,0007027,Ventura,Camarillo,36.0,Mainstream,41.0,87.8
23986,0092043,Ventura,Thousand Oaks,36.0,Mainstream,655.0,62.27
23987,0092042,Ventura,Thousand Oaks,36.0,Mainstream,702.0,65.52
24014,0092073,Ventura,Thousand Oaks,36.0,Mainstream,805.0,68.04
24007,0092078,Ventura,Thousand Oaks,36.0,Mainstream,836.0,63.58
24151,0044008,Ventura,Unincorporated,36.0,Mainstream,726.0,63.58
20842,9003926B,Los Angeles,Los Angeles,36.0,Mainstream,99.0,86.67
23768,0092015,Ventura,Thousand Oaks,36.0,Mainstream,589.0,69.77
23783,0084063,Ventura,Simi Valley,36.0,Mainstream,718.0,59.83
24354,0084014,Ventura,Simi Valley,36.0,Mainstream,492.0,52.33
24361,0084013,Ventura,Simi Valley,36.0,Mainstream,662.0,60.35
23840,0092007,Ventura,Thousand Oaks,36.0,Mainstream,717.0,71.43
23794,0092025,Ventura,Thousand Oaks,36.0,Mainstream,632.0,72.53
